"fecha_de_registro","referencia_de_la_oferta","identificador_de_la_oferta","valor_de_la_oferta","entidad_compradora","nit_entidad_compradora","moneda","descripcion_del_procedimiento","referencia_del_proceso","id_del_proceso_de_compra","modalidad","invitacion_directa","nombre_proveedor","nit_del_proveedor","codigo_entidad","codigo_proveedor"
"2018-10-30T00:00:00.000","PN ESPOL MIC 016 2018","CO1.RPL.742711","5947817","ESPOL","800226849","COP","ADQUISICIÓN DE  TELONES","PN ESPOL MIC 016 2018","CO1.BDOS.578128","Mínima cuantía","No","GAMACOMPAÑIASAS","901012714","701695355","702666710"
"2022-06-23T00:00:00.000","INFORMACIÓN A PRESENTAR EN EDICIÓN PN ESPOL SIP 021 2022","CO1.RPL.2824569","900000000000000","ESPOL","800226849","COP","SOLICITUD COTIZACIÓN MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS AUDIOVISUALES Y EQUIPOS DE COMPUTO","PN ESPOL SIP 021 2022","CO1.BDOS.2985586","Solicitud de información a los Proveedores","Si","SYSTEMNET INGENIERIA SAS","830122370","701695355","700985195"
"2023-05-05T00:00:00.000","ASEGURADORA SOLIDARIA DE COLOMBIA ENTIDAD COOPERATIVAEXT","CO1.RPL.3377136","99246280","CONCEJO MUNICIPAL DE POPAYAN","817005028","COP","CONTRATAR LAS PÓLIZAS DE SEGUROS REQUERIDAS PARA AMPARAR TODOS LOS BIENES MUEBLES E INMUEBLES Y DEMÁS ACTIVOS E INTERESES PATRIMONIALES DEL CONCEJO MUNICIPAL DE POPAYÁN O DE AQUELLOS POR LOS CUALES SEA O LLEGARE A SER LEGALMENTE RESPONSABLE O QUE SE ENCUENTREN BAJO SU CONTROL Y CUSTODIA ASÍ COMO EL SEGURO DE VIDA DE LOS CONCEJALES","SM0012023 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.4291504","Selección Abreviada de Menor Cuantía","Si","Aseguradora Solidaria de Colombia Entidad Cooperativa","860524654","710926031","700326028"
"2022-10-17T00:00:00.000","propuesta general UT KAXA MAX No PN ESPOL SA MC 004 2022","CO1.RPL.3029652","807945284","ESPOL","800226849","COP","MANTENIMIENTO INFRAESTRUCTURA VIAL Y URBANISMO DE LA ESCUELA DE POSGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO A PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE REAJUSTE","PN ESPOL SA MC 004 2022 Manifestación de interés Menor Cuantía Presentación de oferta","CO1.BDOS.3313847","Selección Abreviada de Menor Cuantía","Si","UT KAXA MAX","No Definido","701695355","718719792"
"2019-06-13T00:00:00.000","Capital networks SAS PN ESPOL MIC 005 2019","CO1.RPL.1025040","46251000","ESPOL","800226849","COP","MANTENIMIENTO GENERAL A TODO COSTO DEL CIRCUITO CERRADO DE TELEVISIÓN DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 005 2019","CO1.BDOS.852717","Mínima cuantía","No","CAPITAL NETWORKS SAS","830086643","701695355","700583149"
"2023-05-04T00:00:00.000","OFERTA ESE HOSPITAL LOCAL DE PIEDECUESTA 2023","CO1.RPL.3375878","739579042","MUNICIPIO DE PIEDECUESTA","890205383","COP","CONTRATO INTERADMINISTRATIVO PARA LA EJECUCIÓN  DE LAS ACCIONES CONTEMPLADAS EN EL PLAN DE INTERVENCIONES COLECTIVAS PIC PLAN TERRITORIAL DE SALUD PÚBLICA PARA LA VIGENCIA 2023 EN EL MUNICIPIO DE PIEDECUESTA  SANTANDER EN EL MARCO DEL PROYECTO DENOMINADO  FORTALECIMIENTO DEL PLAN DE INTERVENCIONES COLECTIVAS  PIC PARA LA VIGENCIA 2023 EN EL MUNICIPIO DE PIEDECUESTA  SANTANDER","SSCONV0032023","CO1.BDOS.4358551","Contratación Directa (con ofertas)","Si","ESE HOSPITAL LOCAL DE PIEDECUESTA","900066345","702166190","704331255"
"2023-05-05T00:00:00.000","PN RASES No 7 MIC 040 2023AMBULANCIAS DEL LLANO SAS","CO1.RPL.3375770","62903570","REGIONAL DE ASEGURAMIENTO EN SALUD No7","900407224","COP","PRESTACIÓN DE SERVICIOS DE TRASLADO EN AMBULANCIA BÁSICA YO MEDICALIZADA PARA LOS USUARIOS DEL SUBSISTEMA DE SALUD DE LA UNIDAD PRESTADORA DE SALUD GUAVIARE PERTENECIENTES A LA REGIONAL DE ASEGURAMIENTO No 7","PN RASES No 7 MIC 040 2023","CO1.BDOS.4346001","Mínima cuantía","No","AMBULANCIAS DEL LLANO SAS","822007837","702313123","704382282"
"2022-04-28T00:00:00.000","CapitalEspol2022","CO1.RPL.2707828","99854007","ESPOL","800226849","COP","MANTENIMIENTO Y ACTUALIZACIÓN DEL SISTEMA DE CONTROL DE ACCESO VEHICULAR","PN ESPOL MIC 004 2022","CO1.BDOS.2903682","Mínima cuantía","No","CAPITAL NETWORKS SAS","830086643","701695355","700583149"
"2018-11-21T00:00:00.000","ESPOL","CO1.RPL.769618","5000000","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE AIRES ACONDICIONADOS DE LA ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO","PN ESPOL MIC 022 2018","CO1.BDOS.600879","Mínima cuantía","No","ELECTRIAIRES INTEGRALES SAS","901055814","701695355","704929884"
"2019-10-09T00:00:00.000","MANTENIAMIENTO PREVENTIVO CONTROL DE ACCESO PEATONAL","CO1.RPL.1205867","11890200","ESPOL","800226849","COP","MANTENIMIENTO PREVENTIVO DEL CONTROL DE ACCESO PEATONAL","PN ESPOL MIC 010 2019","CO1.BDOS.946236","Mínima cuantía","No","COMPUTERS COLOMBIA LTDA","830097138","701695355","702738873"
